LS — UWB Realtime
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
  10.849     669     6442.0      655.1
  10.867     670     6445.1      644.4
  10.883     671     6899.9      169.7
  10.900     672     6559.1      554.8
  10.917     673     6491.4      793.5
  10.935     674     6471.5      832.8
  10.952     675     6435.8      843.3
  10.968     676     6660.2      493.6
  10.985     677     6499.2      670.2
  11.003     678     6527.4      693.6
  11.021     679     6521.5      700.0
  11.037     680     6428.8      694.2
  11.054     681     6568.5      716.0
  11.071     682     6459.5      776.3
  11.090     683     6384.4      802.1
  11.107     684     6518.2      628.1
  11.124     685     6578.2      546.4
  11.140     686     6388.4      759.0
  11.159     687     6402.7      806.8
  11.177     688     6392.8      800.6
  11.194     689     6369.5      773.4
  11.210     690     6602.9      978.7
  11.227     691     6387.2      782.4
  11.245     692     6387.0      774.7
  11.263     693     6431.8      819.8
  11.282     694     6367.5      745.1
  11.300     695     6385.7      776.5
  11.316     696     6858.8      210.8
  11.333     697     6408.7      712.1
  11.350     698     6489.8      648.4
  11.368     699     6453.2      625.8
  11.383     700     6387.4      722.1
  11.402     701     6371.0      700.2
  11.420     702     6373.8      621.6
  11.437     703     6426.0      694.9
  11.455     704     6418.1      688.4
  11.473     705     6489.9      754.4
  11.492     706     6450.5      743.0
  11.508     707     6921.0      718.4
  11.525     708     6421.1      763.6
  11.543     709     6430.2      805.3
  11.560     710     6378.1      777.8
  11.578     711     6436.4      848.1
  11.593     712     6361.9      706.5
  11.610     713     6331.9      849.1
  11.629     714     6285.6      798.7
  11.647     715     6331.8      807.9
  11.666     716     6326.6      830.6
  11.685     717     6305.3      779.9
  11.701     718     6859.3      150.4
  11.718     719     6429.6      707.4
  11.738     720     6417.4      664.6
  11.753     721     6401.9      756.4
  11.770     722     6358.7      820.8
  11.786     723     6442.5      858.8
  11.802     724     6433.5      835.4
  11.820     725     6503.7      717.2
  11.838     726     6515.9      693.2
  11.856     727     6462.0      646.5
  11.873     728     6802.1      233.6
  11.890     729     6814.1      231.2
  11.910     730     6844.4      283.0
  11.928     731     6867.6      343.7
  11.944     732     6793.2      233.1
  11.965     733     6806.9      214.8
  11.983     734     7060.1      581.8
  12.001     735     6806.7      251.1
  12.019     736     6810.5      252.3
  12.035     737     6537.8      521.3
  12.054     738     6783.5      860.3
  12.073     739     6545.3      542.3
  12.090     740     6588.5      618.8
  12.108     741     6562.1      542.6
  12.127     742     6523.9      528.6
  12.144     743     6404.7      847.3
  12.166     744     6409.4      853.6
  12.185     745     6376.5      798.7
  12.205     746     6398.6      835.7
  12.223     747     6379.0      824.5
  12.241     748     6378.3      808.6
  12.259     749     6406.6      828.2
  12.277     750     6354.3      787.6
  12.294     751     6333.2      752.0
  12.310     752     6492.1      655.0
  12.327     753     6348.6      817.2
  12.344     754     6817.6      247.1
  12.362     755     6419.9      815.1
  12.378     756     6358.1      743.6
  12.398     757     6390.7      790.6
  12.416     758     6405.5      799.3
  12.435     759     6411.0      791.9
  12.453     760     6410.5      817.1
  12.469     761     6458.6      758.7
  12.487     762     6449.4      746.4
  12.504     763     6397.5      799.8
  12.523     764     6367.3      774.6
  12.540     765     6532.3      508.1
  12.558     766     6833.5      921.3
  12.574     767     6425.7      767.7
  12.590     768     6447.4      797.0
  12.609     769     6390.8      732.8
  12.627     770     6404.9      740.3
  12.643     771     6393.7      871.0
  12.661     772     6373.6      851.8
  12.677     773     6371.8      860.7
  12.696     774     6394.9      829.9
  12.712     775     6319.3      884.7
  12.729     776     6399.4      809.9
  12.748     777     6385.9      762.3
  12.765     778     6351.3      730.9
