KF — UWB Realtime
  Q=0.01 mm²   R=50.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[KF] init  x=126.1  y=4294.5
   8.888     580     1482.7     4201.9
   8.905     581     1485.9     4204.6
   8.922     582     1487.7     4206.0
   8.939     583     1490.6     4206.9
   8.956     584     1494.8     4212.1
   8.973     585     1499.0     4218.0
   8.990     586     1503.8     4223.3
   9.006     587     1507.9     4228.5
   9.023     588     1512.3     4233.5
   9.040     589     1516.0     4238.5
   9.057     590     1521.0     4243.3
   9.074     591     1524.9     4247.3
   9.091     592     1528.4     4250.5
   9.108     593     1532.2     4253.0
   9.124     594     1535.4     4256.2
   9.141     595     1538.5     4259.5
   9.158     596     1542.2     4261.6
   9.175     597     1545.7     4263.9
   9.192     598     1549.0     4266.6
   9.209     599     1550.8     4268.5
   9.226     600     1554.4     4269.8
   9.243     601     1557.1     4272.8
   9.259     602     1560.0     4274.8
   9.276     603     1562.0     4275.4
   9.293     604     1564.0     4273.9
   9.310     605     1566.8     4275.0
   9.327     606     1568.1     4274.2
   9.344     607     1570.4     4273.2
   9.361     608     1572.2     4271.9
   9.378     609     1574.2     4270.2
   9.395     610     1576.5     4268.7
   9.411     611     1577.9     4266.9
   9.428     612     1578.8     4263.6
   9.445     613     1582.0     4265.0
   9.462     614     1584.3     4265.8
   9.479     615     1587.5     4266.0
   9.496     616     1588.7     4262.6
   9.513     617     1591.0     4263.5
   9.530     618     1593.3     4264.7
   9.546     619     1595.5     4265.8
   9.565     620     1596.9     4266.4
   9.581     621     1598.6     4266.9
   9.598     622     1599.5     4262.6
   9.615     623     1600.7     4259.8
   9.632     624     1601.1     4257.6
   9.649     625     1603.1     4255.4
   9.666     626     1605.4     4253.9
   9.682     627     1607.7     4251.8
   9.699     628     1609.4     4249.4
   9.716     629     1611.5     4247.8
   9.733     630     1613.8     4246.1
   9.750     631     1616.5     4245.0
   9.767     632     1618.2     4243.4
   9.784     633     1620.1     4241.6
   9.801     634     1622.3     4241.0
   9.818     635     1624.7     4240.5
   9.834     636     1626.5     4239.8
   9.851     637     1628.5     4240.2
   9.868     638     1630.6     4239.8
   9.884     639     1632.9     4240.5
   9.901     640     1635.1     4241.1
   9.918     641     1637.1     4241.4
   9.935     642     1639.2     4242.0
   9.952     643     1641.6     4243.2
   9.968     644     1643.8     4243.9
   9.985     645     1646.2     4244.3
  10.002     646     1648.5     4244.6
  10.019     647     1651.3     4246.3
  10.036     648     1653.9     4247.7
  10.053     649     1656.1     4249.6
  10.070     650     1660.3     4250.6
  10.088     651     1662.7     4252.4
  10.104     652     1664.6     4253.7
